y_true,y_pred,text
1,0,"Nie rozumiem jak można nie jeść mięsa. Pomijając sam fakt, że mięso jest niezwykle smaczne i nie wyobrażam sobie kuchni bez niego, to jedzenie mięsa jest dla ludzi naturalne. Ludzie nie są z natury roślinożercami i nasze organizmy są doskonale przystosowane do jedzenia mięsa. Ponadto wykluczenie z diety białka zwierzęcego może być niezwykle szkodliwe dla organizmu, ponieważ nie można go skutecznie zastąpić jakimś roślinnym odpowiednikiem. Moim zdaniem wegetarianizm to modna fanaberia, która nie ma podłoża naukowego i może być po prostu szkodliwa."
0,1,"Ludzie nie powinni jeść mięsa, ponieważ nieetycznym jest zabijanie zwierząt, które posiadają emocje i uczucia. Potwierdzone naukowo jest, że trzoda chlewna odczuwa podobne emocje, co ludzie. Dodatkowo 1/6 światowej produkcji metanu, gazu cieplarnianego, pochodzi właśnie z hodowli trzody chlewnej. Dawniej nasi przodkowie jedli mięso raz w tygodniu, gdzie populacja Ziemi wynosiła ok. 1,6 mld. Dzisiaj jest to 7 miliardów, a znaczna część, tj. ponad 2,9 mld je mięso codziennie. Zmiany w nawykach żywieniowych w zakresie mięsnym jest ważnym aspektem ochrony klimatu. Istnieją też choroby wywoływane związane z mięsem, takie jak włośnica, zakażenie tasiemcem, choroba Creutzfelda-Jacoba."
1,0,"Aborcja jest w Polsce zakazana, w wyniku czego wpływa to na negatywny odbiór polityki państwa na społeczeństwo. W mediach często słyszymy o różnorodnych aktach przemocy na kobiety, które następnie muszą przez wiele lat pokonywać swoje lęki wywołane dokonanymi przestępstwami jakimi są m.in. gwałty. Każdy z nas powinien mieć wybór w związku ze swoimi poglądami. Nikt nie powinien decydować za nas, czy powinniśmy wydawać na świat dzieci. W naszym kraju panuję równouprawnienie, ale również wolność słowa, która gwarantuję nam Konstytucja Rzeczpospolitej Polski. Oczywiście powinniśmy chronić ludzkie życie, lecz nie kosztem krzywdy ludzkiej. 

Podsumowując aborcja powinna być wolnym wyborem każdej kobiety."
1,0,"Bóg istnieje, ponieważ ktoś musiał nadać początek, naszemu życiu. Nie możliwe, aby nasza dusza, czy po prostu jakaś materia, która napędza naszą strukturę/mechanizm - czyli ciało, wzięło się znikąd. Są przykłady, że Bóg istnieje. Coraz więcej ludzi, którzy doświadczają śmierci z której wracają do świata żywych, mówią podobnie, że widzieli swoich zmarłych najbliższych oraz Pana Boga. Tajemnice fatimskie, które są znakiem od Boga, które sprawdziły się w 100%. Był kiedyś przypadek w latach 80tych, że z dwóch drzew na cmentarzu Bródnowskim, uformowała się Matka Boska z dzieciątkiem na rękach. Wiele o tym się mówiło, oczywiście komunistyczne władze, postanowiły temat uciszyć i ściąć drzewa. Kolejne cuda, to wizerunku na oknach czy to Jezusa, czy Maryi, które nie miały fizycznego prawa się ot tak zjawić. Ojciec Pio, który miał dar od Boga, że potrafił pomagać opętanym wyciągając z nich demona, czy też wyleczyć ciężko chorych. Dlaczego coraz częściej ludzie ze świata ""celebryckiego"", postanawia po cięższych przeżyciach przejść na katolicyzm? Ponieważ doznali czegoś, co okazało się dla nich ponadludzkie i niemożliwe, a jednak. Dlatego uważam, że te przykłady pokazują, że osoba w postaci Boga, musi istnieć."
0,1,"Uważam , że aborcja powinna być w stu procentach legalna . Wszelkie proszki aborcyjne powinny mieć swoje miejsce w aptece i powinny być wydawane na receptę a wizyty umawiane u specjalistów . Są ciąże chciane i nie chciane , są ojcowie co chcą mieć dzieci a są takich co ich "" wcale nie ma "" . Każda kobieta powinna mieć prawo do własnego wyboru a nie rodzić dzieci przez tzw "" wpadkę "" oraz nakłanianie rodziców . Jeżeli dojdzie do ciąży u kobiety , która po prostu jej nie chciała i nie chcę z różnych powodów to powinna mieć możliwość zapisania się do specjalisty oraz psychologa w dość szybkim terminie . Uważam , że leki bądź zabiegi powinny być realizowane w trybie natychmiastowym jak pomoc lekarska w nagłych przypadkach . 
"
1,0,"Aborcja powinna byc legalna tylko w przypadkach zagrozenia zdrowia lub utraty zycia matki lub dziecka. Duzo ludzi i lekarzy dewaguje na ten temat. Jest to temat bardzo trudny dla spoleczenstwa i uwazam, ze powinno sie o tym mowic. Czyjes zycie nie powinno podlegac analizie czy mam byc na tym swiecie czy nie. Nowo narodzone istoty sa zywe i czuja maja prawo do wolnosci i zycia na tym swiecie. Podsumowujac aborcja legalna powinna byc tylko w realnych zagrozeniach dla matki lub dziecka."
1,0,"Przyjmowanie nowych imigrantów do Polski jest zbędne oraz niebezpieczne. Są to osoby osoby zamieszkujące terytoria o zupełnie innej mentalności niż my Polacy. Jesteśmy na tyle cywilizowanych narodem aby rozróżnić ich zwierzęce i prymitywne zachowania względem nas (narodu których ich przyjął, dał pracę, bezpieczeństwo, zasiłki, dach n a głową). ich prymitywne zachowania nie tylko nie pokazują wdzięczności za okazane dobro z polskiej strony ale doprowadzają do sytuacji zagrożenia życia nas Polaków. nie są oni nam w żaden sposób potrzebni jako pracownicy, czy ludzie z którymi mijamy się na ulicach. są to ludzie nieokrzesani, agresywni, leniwi. Polska nic nie zyskuje wpuszczając na swoje terytorium osoby, które odstają od norm społecznych a tym samym z biegiem czasu doprowadzą do zniszczenia naszego dobra narodowego jak i nas Polaków."
1,0,"Uważam, że istnienie Boga i wszelkiego rodzaju istot nadprzyrodzonych jest mocno naciągane i zostało wymyślone tylko po to, żeby wyjaśnić zjawiska, których ludzie kiedyś nie rozumieli. Dlatego właśnie coraz częściej odchodzi się od wiary z racji tego, że coraz więcej rzeczy jesteśmy w stanie pojąć poprzez naukę, a religia i wszelkie instytucje z nią związane są w większości maszynką do pieniędzy, która żeruje na naiwnych ludziach. Weźmy na przykład ubogie rejony świata. W Afryce jest bardzo dużo wierzących, wysyłani są kapelani na misje. To wszystko dlatego, żeby wpoić ludziom ubogim i nie mającym żadnych perspektyw jakikolwiek sens egzystencji, żeby mieli dla kogo wstawać każdego dnia z łóżka i jakoś funkcjonować. Dlatego uważam, że Bogowie zostali wymyśleni po to, żeby niegdyś niewytłumaczalne rzeczy mogły zostać usprawiedliwione, a dzisiaj jest to jedynie pożywka dla osób mniej zamożnych."
0,1,"Absolutnie nie powinniśmy jako kraj otwierać się na przyjmowanie imigrantów. Są oni zagrożeniem dla nas jako dla narodu, naszego bezpieczeństwa, kultury, wiary. Sami nie mamy pieniędzy, żeby inwestować w służbę zdrowia, edukację, seniorów i inne ważne resorty. Skąd brać pieniądze na utrzymywanie ludzi, którzy  nie są tak naprawdę zainteresowani pracą, tylko są szkodnikami. Istnieje zagrożenie, że terroryści rozpanoszą się w naszym kraju, nasze kobiety będą znieważane, gwałcone. To zupełnie obca, dzika kultura, dla której nie ma miejsca w Polsce. "
0,1,"Według mnie są pewne znaki,  że Boga nie ma. Jest zbyt wiele zła na świecie, które najczęściej dotyka ludzi, których nie powinno. Nie mogę pojąć, dlaczego często źli ludzie, mają zdecydowanie lepsze życie materialne, natomiast osoby, z których można brać przykład, przepadają, giną czy są mordowani, jak to przykładowo miało miejsce w powojennej Polsce przykład - rotmistrz Pilecki, natomiast wiele lat, żył kat w Polsce pod postacią gen. Jaruzelskiego, za którego wprowadzenie stanu wojennego, wiele osób doznało krzywdy czy zginęło. Innym przykładem który jest dla mnie istotny, pod kątem wykluczenia istnienia Boga, jest reinkarnacja. Mnożą się przykłady czy to osób, czy zwierząt, które lgną do nas obcych tak, jakby na dawno nie widzieli i byli stęsknieni. Tak samo są przypadki, że jakaś osoba w innym wcieleniu, potrafiła rozpoznać w poprzednim swoją rodzinę. Można w internecie takie przykłady znaleźć i sądzę, że są zbyt wiarygodne aby nie były prawdą. Dlatego na tych przykładach uważam, że przy ogromnej niesprawiedliwości, jak i przypadkach z reinkarnacją, Boga nie ma, że nasze życie jest taką właśnie wirującą planetą, w której cyklicznie coś się powtarza, przy tym opartej na ogromnej niesprawiedliwości. Stąd uważam, że Boga nie ma, a nasz byt jest co i rusz przemieszczany z ciała do ciała."
